"Name","toi","ticnum","vmag","teff","feh","mass","radius","num_nights","num_nights_hires_j","num_nights_apf","last_observed","texp_keck","total_exptime_hires_j"
"191939","1339","269701147","8.97","5326","-0.25","0.836650247407","1.362","151","74","102","1","376.288305114872","7.37097467900277"
"T001136","1136","142276270","9.53","5747.5","0.03","1.0280416065","1.013","114","51","72","1","630.261260976091","6.75884270562778"
"235088","1430","293954617","9.19","5040","0.01","0.847972040138","0.784","70","46","25","2","230.40437701883","4.37734395636389"
"95072","1776","21535395","8.09","5677","-0.355","0.8704039866125","1.0695","39","26","14","2","167.309546037028","1.04988921960556"
"HIP97166","1255","237222864","9.92","5151.5","0.33","0.905458496207","0.8785","87","42","64","3","902.652773351604","8.42328780173889"
"12572","1471","306263608","9.2","5553","-0.1","0.906051657977","1.075","61","26","38","4","465.07256494191","2.69912534501944"
"63935","509","453211454","8.58","5490","0.07","0.929936483836","1.075","128","46","98","6","262.736687906481","4.7970291053"
"25463","554","407966340","6.91","6221","-0.2","1.21101535765","1.94","177","69","132","12","56.4313864957663","2.30527612129722"
"42813","469","33692729","9.49","5247","0.33","0.9709831471645","1.0195","50","50","null","12","607.464245195929","6.62483203463889"
"T000561","561","377064495","10.25","5302","-0.48","0.752508460399","0.835","65","65","null","12","1223.26548147539","14.4340620591806"
"T000669","669","124573851","10.61","5607.5","-0.06","0.9168362562275","1.017","44","44","null","12","852.10004421855","10.7542611863861"
"T001272","1272","417948359","11.76","5013.5","0.235","0.8705010017845","0.8015","38","38","null","12","1179.59239124524","10.3593868594722"
"T001736","1736","408618999","8.95","5672","0.13","1.03473075794","1.147","43","41","2","12","369.420204631729","2.37979357190278"
"HIP8152","266","164767175","10.07","5549.5","-0.08","0.918287656146","1.112","58","58","null","18","1036.38405067785","11.9421921385611"
"T001759","1759","408636441","12.2","3920.5","-0.195","0.600835101151","0.625","25","25","null","18","2352.17981665283","7.45715029398611"
"6061","1473","352413427","8.84","5921","-0.08","1.03272266676","1.09","98","63","41","33","166.913239528875","3.78791625698055"
"T001410","1410","199444169","11.11","4506","0.165","0.7661695454085","0.732","36","36","null","39","972.351042752012","7.909332559375"
"135694","1247","232540264","9.08","5700.5","-0.225","0.885299775429","0.9925","95","43","55","103","416.409588072762","4.30316114173333"
"332231","1456","199376584","8.56","6079.5","0","1.12567586364","1.146","93","14","79","103","257.941302597532","1.44843256419722"
"T002088","2088","441765914","11.481","4878","0.19","0.8777898709825","0.884","9","9","null","105","1368.43200076821","2.71963784959722"